,Number,Autor,Publication,Title,Journal,IF,DOI,"Stability, hour",Key Product,Article name,Formula,Compound_1,Compound_2,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h",Type of reactor,"Loading, μg/cm2","Add_carbon, %","Surface area of electrode, cm2","Flow rate CO2, ml/min","Volume, cm3"
18,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,C2H4,38.9,,H-cell,713.19,0.0,0.2,20.0,
19,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,H2,36.89,,H-cell,713.19,0.0,0.2,20.0,
20,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,CO,6.95,,H-cell,713.19,0.0,0.2,20.0,
21,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,C2H4,19.45,,H-cell,713.19,0.0,0.2,20.0,
22,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,H2,60.45,,H-cell,713.19,0.0,0.2,20.0,
23,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,CO,9.11,,H-cell,713.19,0.0,0.2,20.0,
24,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,C2H4,55.14,,H-cell,713.19,0.0,0.2,20.0,
25,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,H2,31.07,,H-cell,713.19,0.0,0.2,20.0,
26,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,CO,2.75,,H-cell,713.19,0.0,0.2,20.0,
27,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,C2H4,35.56,,H-cell,713.19,0.0,0.2,20.0,
28,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,H2,46.99,,H-cell,713.19,0.0,0.2,20.0,
29,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,CO,9.25,,H-cell,713.19,0.0,0.2,20.0,
30,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,C2H4,42.13,,H-cell,713.19,0.0,0.2,20.0,
31,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,H2,33.92,,H-cell,713.19,0.0,0.2,20.0,
32,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,CO,5.41,,H-cell,713.19,0.0,0.2,20.0,
33,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,C2H4,12.24,,H-cell,713.19,0.0,0.2,20.0,
34,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,H2,57.22,,H-cell,713.19,0.0,0.2,20.0,
35,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.30,CO,7.12,,H-cell,713.19,0.0,0.2,20.0,
36,4,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,5.0,C2H4,Cu,Cu,Cu,,100.0,sphere,,23.86,34.91,45.95,23.86,34.91,45.95,100.0,0.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-0.55,H2,65.3,,H-cell,1052.63,,0.19,,30.0
37,4,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,5.0,C2H4,Cu,Cu,Cu,,100.0,sphere,,23.86,34.91,45.95,23.86,34.91,45.95,100.0,0.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-0.55,CH4,3.9,,H-cell,1052.63,,0.19,,30.0
38,4,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,5.0,C2H4,Cu,Cu,Cu,,100.0,sphere,,23.86,34.91,45.95,23.86,34.91,45.95,100.0,0.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-0.55,C2H4,0.8,,H-cell,1052.63,,0.19,,30.0
39,4,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,5.0,C2H4,Cu,Cu,Cu,,100.0,sphere,,23.86,34.91,45.95,23.86,34.91,45.95,100.0,0.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-0.55,HCOOH,13.5,,H-cell,1052.63,,0.19,,30.0
40,4,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,5.0,C2H4,Cu,Cu,Cu,,100.0,sphere,,23.86,34.91,45.95,23.86,34.91,45.95,100.0,0.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-0.65,H2,58.3,,H-cell,1052.63,,0.19,,30.0
41,4,"Zhi-Qin Liang, Tao-Tao Zhuang, Ali Seifitokaldani, Jun Li, Chun-Wei Huang, Chih-Shan Tan, Yi Li, Phil De Luna, Cao Thang Dinh, Yongfeng Hu, Qunfeng Xiao, Pei-Lun Hsieh, Yuhang Wang, Fengwang Li, Rafael Quintero-Bermudez, Yansong Zhou, Peining Chen, Yuanjie Pang, Shen-Chuan Lo, Lih-Juann Chen, Hairen Tan, Zheng Xu, Suling Zhao, David Sinton & Edward H. Sargent",2018,Copper-on-nitride enhances the stable electrosynthesis of multi-carbon products from CO2,nature communications,14.7,10.1038/s41467-018-06311-0,5.0,C2H4,Cu,Cu,Cu,,100.0,sphere,,23.86,34.91,45.95,23.86,34.91,45.95,100.0,0.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-0.65,CH4,12.6,,H-cell,1052.63,,0.19,,30.0
